timestamp	magnetometer_x	magnetometer_y	magnetometer_z
8.303740e+01	-5.596e+01	2.227e+02	2.992e+02
8.313897e+01	-5.581e+01	2.225e+02	2.992e+02
8.324053e+01	-5.612e+01	2.227e+02	2.989e+02
8.334209e+01	-5.634e+01	2.226e+02	2.982e+02
8.344368e+01	-5.623e+01	2.222e+02	2.984e+02
8.354528e+01	-5.654e+01	2.223e+02	2.986e+02
8.364675e+01	-5.631e+01	2.225e+02	2.985e+02
8.374840e+01	-5.651e+01	2.226e+02	2.988e+02
8.384987e+01	-5.628e+01	2.229e+02	2.992e+02
8.395144e+01	-5.632e+01	2.225e+02	2.993e+02
8.405303e+01	-5.621e+01	2.230e+02	2.989e+02
8.415459e+01	-5.621e+01	2.226e+02	2.994e+02
8.425612e+01	-5.629e+01	2.227e+02	2.988e+02
8.435769e+01	-5.614e+01	2.217e+02	2.983e+02
8.445928e+01	-5.625e+01	2.222e+02	2.988e+02
8.456087e+01	-5.625e+01	2.223e+02	2.993e+02
8.466235e+01	-5.603e+01	2.219e+02	2.988e+02
8.476407e+01	-5.614e+01	2.221e+02	2.992e+02
8.486544e+01	-5.618e+01	2.218e+02	2.986e+02
8.496704e+01	-5.648e+01	2.220e+02	2.992e+02
8.506860e+01	-5.604e+01	2.223e+02	2.985e+02
8.517010e+01	-5.548e+01	2.227e+02	2.984e+02
8.527176e+01	-5.604e+01	2.227e+02	2.987e+02
8.537326e+01	-5.543e+01	2.225e+02	2.986e+02
8.547482e+01	-5.647e+01	2.226e+02	2.984e+02
8.557638e+01	-5.361e+01	2.227e+02	2.986e+02
8.567794e+01	-5.617e+01	2.220e+02	2.990e+02
8.577954e+01	-5.366e+01	2.219e+02	2.980e+02
8.588110e+01	-5.635e+01	2.226e+02	2.987e+02
8.598263e+01	-5.389e+01	2.215e+02	2.983e+02
8.608419e+01	-5.602e+01	2.226e+02	2.983e+02
8.618576e+01	-5.346e+01	2.218e+02	2.971e+02
8.628725e+01	-5.608e+01	2.226e+02	2.980e+02
8.638909e+01	-5.348e+01	2.216e+02	2.961e+02
8.649034e+01	-5.619e+01	2.227e+02	2.987e+02
8.659197e+01	-5.336e+01	2.214e+02	2.964e+02
8.669347e+01	-5.606e+01	2.224e+02	2.989e+02
8.679506e+01	-5.403e+01	2.220e+02	2.963e+02
8.689659e+01	-5.606e+01	2.223e+02	2.989e+02
8.699822e+01	-5.402e+01	2.214e+02	2.959e+02
8.709972e+01	-5.651e+01	2.219e+02	2.986e+02
8.720128e+01	-5.369e+01	2.213e+02	2.963e+02
8.730284e+01	-5.643e+01	2.221e+02	2.985e+02
8.740444e+01	-5.389e+01	2.211e+02	2.960e+02
8.750600e+01	-5.614e+01	2.221e+02	2.988e+02
8.760759e+01	-5.608e+01	2.223e+02	2.991e+02
8.770915e+01	-5.414e+01	2.215e+02	2.966e+02
8.781069e+01	-5.690e+01	2.226e+02	2.990e+02
8.791234e+01	-5.380e+01	2.214e+02	2.963e+02
8.801393e+01	-5.686e+01	2.219e+02	2.985e+02
8.811549e+01	-5.491e+01	2.216e+02	2.958e+02
8.821699e+01	-5.621e+01	2.225e+02	2.991e+02
8.831862e+01	-5.592e+01	2.213e+02	2.960e+02
8.842015e+01	-5.623e+01	2.219e+02	2.991e+02
8.852174e+01	-5.658e+01	2.219e+02	2.967e+02
8.862331e+01	-5.701e+01	2.223e+02	2.992e+02
8.872484e+01	-5.659e+01	2.223e+02	2.967e+02
8.882643e+01	-5.649e+01	2.224e+02	2.992e+02
8.892796e+01	-5.613e+01	2.226e+02	2.972e+02
8.902949e+01	-5.629e+01	2.222e+02	2.986e+02
8.913109e+01	-5.656e+01	2.228e+02	2.986e+02
8.923265e+01	-5.591e+01	2.223e+02	2.992e+02
8.933421e+01	-5.603e+01	2.227e+02	2.992e+02
8.943578e+01	-5.647e+01	2.225e+02	2.996e+02
8.953731e+01	-5.619e+01	2.227e+02	2.991e+02
8.963899e+01	-5.634e+01	2.222e+02	2.991e+02
8.974040e+01	-5.646e+01	2.226e+02	2.993e+02
8.984197e+01	-5.654e+01	2.225e+02	2.990e+02
8.995131e+01	-5.647e+01	2.225e+02	2.994e+02
